Book Id,Title,Last,First,ISBN13,Average Rating,Publisher,Original Publication Year,Date Read
18114322,The Grapes of Wrath,John,Steinbeck,9780670016907,4.01,Viking,1939,
1953,A Tale of Two Cities,Charles,Dickens,9780141439600,3.87,Penguin Books,1859,
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft,Shelley,9780143131847,3.88,Penguin Classics,1818,
4900,Heart of Darkness,Joseph,Conrad,9781892295491,3.43,Green Integer,1899,
153747,Moby-Dick or; The Whale,Herman,Melville,9780142437247,3.55,Penguin Classics ,1851,
9822,Mrs. Frisby and the Rats of NIMH (Rats of NIMH; #1),Robert C.,O'Brien,9780689862205,4.17,Aladdin,1971,
36385830,Thrawn: Alliances (Star Wars: Thrawn; #2),Timothy,Zahn,9780525480488,3.96,Del Rey,2018,
31140332,Thrawn (Star Wars: Thrawn; #1),Timothy,Zahn,9781780894843,4.31,Random House,2017,
114955,The Arctic Incident  (Artemis Fowl; #2),Eoin,Colfer,None,3.96,Hyperion Books for Children,2002,3/30/20
7190,The Three Musketeers,Alexandre,Dumas,None,4.09,Modern Library,1844,3/28/20
10964,Outlander (Outlander; #1),Diana,Gabaldon,9780440242949,4.26,Dell,1991,3/23/20
249747,Artemis Fowl (Artemis Fowl; #1),Eoin,Colfer,None,3.86,Miramax,2001,3/14/20
81940,Mastery: The Keys to Success and Long-Term Fulfillment,George,Leonard,9780452267565,4.1,Plume,1991,3/14/20
402093,Shogun (Asian Saga; #1),James,Clavell,None,4.41,Dell,1975,2/29/20
16130549,Doctor Sleep (The Shining; #2),Stephen,King,9781476727653,4.13,Scribner,2013,2/10/20
22717987,The Long-Lost Home (The Incorrigible Children of Ashton Place; #6),Maryrose,Wood,9780062110442,4.27,Balzer + Bray,2018,2/21/20
5043,The Pillars of the Earth (Kingsbridge; #1),Ken,Follett,None,4.34,NAL Trade,1989,1/27/20
24487837,The Unmapped Sea (The Incorrigible Children of Ashton Place; #5),Maryrose,Wood,None,4.26,Balzer + Bray,2015,1/20/20
28881,Lamb: The Gospel According to Biff; Christ's Childhood Pal,Christopher,Moore,9780380813810,4.23,Harper Perennial,2002,12/31/19
8725930,The Interrupted Tale (The Incorrigible Children of Ashton Place; #4),Maryrose,Wood,9780061791222,4.23,Balzer + Bray,2013,12/20/19
176378,Drive (Drive; #1),James,Sallis,9780156030328,3.46,Mariner Books,2005,12/12/19
